img_name,top1,top1_prob,top2,top2_prob,top3,top3_prob
2024-08-27_09-48-53-742848_ID14_crop.jpg,fly,0.9,fly_small,0.0,beetle,0.0
2024-08-27_09-48-55-182850_ID14_crop.jpg,fly,0.91,fly_small,0.01,beetle,0.0
2024-08-27_09-48-56-616117_ID14_crop.jpg,fly,0.9,fly_small,0.01,beetle,0.0
2024-08-27_09-48-58-040462_ID14_crop.jpg,fly,0.91,fly_small,0.0,hfly_syrphus,0.0
2024-08-27_09-48-59-457619_ID14_crop.jpg,fly,0.9,fly_small,0.01,ant,0.0
2024-08-27_09-49-00-844011_ID14_crop.jpg,fly,0.91,fly_small,0.0,beetle,0.0
2024-08-27_09-49-02-289676_ID14_crop.jpg,fly,0.91,fly_small,0.0,beetle,0.0
2024-08-27_09-49-03-716382_ID14_crop.jpg,fly,0.89,beetle,0.0,hfly_myathr,0.0
2024-08-27_09-49-05-140369_ID14_crop.jpg,fly,0.91,fly_small,0.0,hfly_eupeo,0.0
2024-08-27_09-49-06-553806_ID14_crop.jpg,fly,0.91,other,0.0,ant,0.0
2024-08-27_09-49-08-003378_ID14_crop.jpg,fly,0.91,other,0.0,fly_small,0.0
2024-08-27_09-49-09-422718_ID14_crop.jpg,fly,0.92,other,0.0,beetle,0.0
2024-08-27_09-49-10-855293_ID14_crop.jpg,fly,0.91,fly_small,0.0,other,0.0
2024-08-27_09-49-12-273231_ID14_crop.jpg,fly,0.87,none_dirt,0.01,ant,0.01
2024-08-27_09-49-13-693524_ID14_crop.jpg,fly,0.89,bee,0.0,beetle,0.0
2024-08-27_09-49-15-111043_ID14_crop.jpg,fly,0.9,bee,0.0,beetle,0.0
2024-08-27_09-49-16-523795_ID14_crop.jpg,fly,0.9,bee,0.0,fly_sarco,0.0
2024-08-27_09-49-17-952325_ID14_crop.jpg,fly,0.9,bee,0.0,fly_sarco,0.0
2024-08-27_09-49-19-364749_ID14_crop.jpg,fly,0.9,bee,0.0,beetle,0.0
2024-08-27_09-49-20-796068_ID14_crop.jpg,fly,0.9,bee,0.0,bug,0.0
2024-08-27_09-49-22-242529_ID14_crop.jpg,fly,0.9,bee,0.0,beetle,0.0
2024-08-27_09-49-23-662902_ID14_crop.jpg,fly,0.9,bee,0.01,bug,0.0
2024-08-27_09-49-25-073568_ID14_crop.jpg,fly,0.9,bee,0.0,bee_bombus,0.0
2024-08-27_09-49-26-492999_ID14_crop.jpg,fly,0.9,bee,0.0,beetle,0.0
2024-08-27_09-49-27-963709_ID14_crop.jpg,fly,0.9,bee,0.0,hfly_syrphus,0.0
2024-08-27_09-49-29-391326_ID14_crop.jpg,fly,0.9,bee,0.0,beetle,0.0
2024-08-27_09-49-30-813325_ID14_crop.jpg,fly,0.91,bee,0.0,beetle,0.0
2024-08-27_09-49-32-240806_ID14_crop.jpg,fly,0.9,bee,0.0,beetle,0.0
2024-08-27_09-49-33-646472_ID14_crop.jpg,fly,0.9,bee,0.0,bee_bombus,0.0
2024-08-27_09-49-35-083649_ID14_crop.jpg,fly,0.89,beetle,0.0,hfly_eupeo,0.0
2024-08-27_09-49-36-522513_ID14_crop.jpg,fly,0.9,bee,0.0,fly_sarco,0.0
2024-08-27_09-49-37-933186_ID14_crop.jpg,fly,0.91,bee,0.0,bee_apis,0.0
2024-08-27_09-49-39-355819_ID14_crop.jpg,fly,0.91,bee,0.0,beetle,0.0
2024-08-27_09-49-40-794112_ID14_crop.jpg,fly,0.91,bee,0.0,bee_apis,0.0
2024-08-27_09-49-42-242001_ID14_crop.jpg,fly,0.9,bee,0.0,fly_sarco,0.0
2024-08-27_09-49-43-642089_ID14_crop.jpg,fly,0.9,bee,0.0,fly_sarco,0.0
2024-08-27_09-49-45-054782_ID14_crop.jpg,fly,0.9,bee,0.0,bee_apis,0.0
2024-08-27_09-49-46-522974_ID14_crop.jpg,fly,0.9,bee,0.0,fly_sarco,0.0
